ID,Title,Description,"Personal Contributor","Corporate Contributor","Event Contributor","Topical Subject","Geographic Subject","Personal Name Subject","Title Subject","Temporal Subject",Genre,"Table Of Contents",Language,Extent,"Preferred Citation","Copyright Statement","Reuse Permissions",Handle,"Legacy Identifier","System Creator","Date Created",Peer-reviewed,"Open Access",Series,"Copyright Date","Date Digitized",Edition,Frequency,Issuance,"Related Item","Collaborating Institution","Complex Object Child",Model,"Statement of Responsibility","Parent Item","Parent Collection","Additional Memberships",Coordinates,Note,"Place of Publication Code","Place of Publication Text",Identifier,"Cataloging Standards","Derivative File Permissions","Original File Permissions","Description Source","Embargo Release Date","Level of Coding",Visibility
5703,"|Sleep Quality and the Effect on Functional Outcomes|","<p>Introduction: Sleep disorders can go undiagnosed if a provider is not asking the right questions; they can be characterized by loud snoring with apneic episodes that never fully wake the person, difficulty falling asleep or daytime fatigue. Poor sleep can affect activities of daily living, job performance and personal relationships. Poor sleep can be difficult to detect because some may consider it a symptom because of their lifestyle. The purpose of this study is to assess participants sleep quality and functional outcomes of poor sleep.</p>
<p>Methods: Primary care providers have an opportunity to screen for sleep disorders as part of the intake process during an office visit. The Functional Outcomes of Sleep Questionnaire (FOSQ), has been proposed as guide to determine if a sleep disorder is affecting quality of life. This descriptive study randomly recruited 20 participants from a community health center. A 10-question survey was given to individuals over the age of 18 who can write and speak English and either have a body mass index (BMI) over 30, hypertension (HTN) or diabetes type II (DMII). Demographic information evaluated included age, gender, HTN, DMII, BMI&gt;30, marital status, sleeping alone, employment type, race, type of insurance, how many times do they wake up at night, the average number of hours slept per night and does the person work night shift.</p>
<p>Results: The study used a qualitative approach with a descriptive methodology; statistical analysis consisted of proportions, means and standard deviation to describe the study population. Participant age ranged from 33 to 72 years (M=50.1, SD= 11.32). Sixty percent were both female and married/living with partner. Despite being married/living with partner, 50% slept alone. A Mann-Whitney U test showed that there was a significant difference in four of the questions in the FOSQ-10 in which functional outcomes were not affected by being sleepy or tired.</p>
<p>Conclusion: The FOSQ-10 may serve a role in identifying patients who might benefit from a sleep study. The inclusion of a sleep disorder screening tool may increase the specificity and sensitivity of the intervention and the ability to yield data that will objectively measure disordered sleep.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Sleep disorders|http://id.loc.gov/authorities/subjects/sh85123404 || Quality of life|http://id.loc.gov/authorities/subjects/sh85109445 || Medical screening|http://id.loc.gov/authorities/subjects/sh85083024",,,,,,,English,"51 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53394,53394,kpardon1,"05/09/2019 - 16:30",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5704,"|SMART Hearts|Using Motivational Interviewing to Increase Cardiac Rehab Attendance","<p>One in every three deaths in the United States results from cardiovascular disease (CDC, 2013). Cardiovascular Rehabilitation (CR) is a medically supervised program designed to helpimprove cardiovascular health for patients who have experienced heart attack, heart failure,angioplasty, or heart surgery (AHA, 2016). A hospital in the southwestern region of the UnitedStates of America reports their 2016 CR attendance rate of 79 %, which is much lower than the national average of 94% (AACVPR, 2016). Motivational interviewing (MI) is a proven method used to promote a positive behavior change for cardiac rehab patients. MI includes quality improvement activities such as peer support and cardiac rehab educational classes that have shown to increase health related quality of life measures and decreased depression symptoms (Pietrabessa et al., 2017; Pack et al., 2013). Despite all the knowledge about CR and its benefits for health nationally, there are low attendance rates, therefore the purpose of this evidence-based project is to improve CR attendance rates using MI. Patients enrolled into CR participated in the motivational interviewing for eight classes. At the end of the class, they were given notecards to create Specific Measureable Achievable Realistic and Timely (SMART) Goals for themselves for that week. The measurement tools, the PHQ-9 and Dartmouth COOP is a simple, reliable, and valid tool for assessing functional status of cardiac patients and the current CR program utilizes this tool and is familiar with explaining this tool (Eaton, Young, Fergussion, Garrett, &amp; Kolbe, 2005). A Pearson correlation coefficient was calculated for the relationship between the MI classes and the CR attendance, depression scores, and quality of life. A strong positive correlation was found (r (82)= .456, p&lt; .001) indicating a significant linear relationship between motivational interviewing and cardiac rehab attendance. A weak correlation that was not significant for depression symptoms and quality of life. The impact of this evidence-based project is to give cardiac rehab programs further evidence that the implementation of motivational interviewing can positively influence cardiac rehab attendance rates.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Heart|http://id.loc.gov/authorities/subjects/sh85059633 || Diseases|http://id.loc.gov/authorities/subjects/sh85038411 || Motivational interviewing|http://id.loc.gov/authorities/subjects/sh2006005865 || Medical rehabilitation|http://id.loc.gov/authorities/subjects/sh91000759",,,,,,,English,"47 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.54609,54609,kpardon1,"10/14/2019 - 13:43",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Complex Object",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5705,"|Socio-emotional and Behavior Issues of Children Separated from Military Parent|","<p>Introduction: More than 1.2 million children in military families face long separations from a parent due to deployment or extended assignment, which can lead to significant family dysfunction as well as behavioral, emotional, and scholastic problems for the child. The purpose of From Caring 2 Coping is to identify and provide healthcare providers of military children tools to recognize and address maladaptive and externalizing behaviors of these children, while also assisting the nondeployed parent or caregiver to provide their children with the necessary support to reduce stress and increase their own coping skills. </p>
<p>Materials and Methods: After approval from Arizona State University IRB, children aged 4-11 years who are currently or forecasted to be separated from a military parent due to a deployment or extended assignment, were recruited from a military pediatric clinic along with their primary caregiver. An intervention was adapted from Bowen and Martin’s (2011) Resiliency Model of Role Performance for Service Members, Veterans, and their Families to identify and improve individual assets and family communication skills, find support through social connections, and prepare for potential stressors by constructing a Roadmap of Life. The Parental Stress Scale (PSS) and Pediatric Symptom Checklist (PSC-17) were completed before and after the 4-week intervention along with a final caregiver survey to evaluate the caregiver’s perceptions of From Caring 2 Coping. </p>
<p>Results: Four mothers and eight children completed the program for which Wilcoxon matched-pairs signed-rank test compared results from pre- and post PSC-17 surveys from the children showing significant improvement post-intervention (p = 0.017). The post PSC-17 results were compared to post PSS results with Spearman Correlation Coefficient, r = 0.949, that is statistically significant (p = 0.05). From Caring 2 Coping is rated as an effective program by parents in a postintervention survey that is easy to incorporate into daily activities. Parents ranked highest satisfaction through use of the Family Communication Plan and Family Timeline. </p>
<p>Conclusions: From Caring 2 Coping intervention tools improved family communication, use of individual assets and Roadmap of Life coping skills, thereby improving child and caregiver coping response as evidenced by improved PSC-17 and PSS scores. Basing the intervention on the Resiliency Model of Role Performance which has proven successful in the military population, improves the chances for success in this target population. However, the small sample size of four families requires further study with more families at all levels of the deployment cycle in order to refine the intervention.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Families of military personnel|http://id.loc.gov/authorities/subjects/sh99004254 || Adjustment (Psychology)|http://id.loc.gov/authorities/subjects/sh85000892 || Mental health services|http://id.loc.gov/authorities/subjects/sh00006456",,,,,,,English,"16 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48622,48622,kpardon1,"05/07/2018 - 18:44",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5706,"|Supporting Advanced Practice Provider Transition to Practice|A Theoretical and Evidence-Based Intervention","<p>New graduate nurse practitioners and physician assistants, also known as advanced practice providers (APPs), face a significant number of challenges when entering professional practice. If the new graduate does not receive sufficient guidance and support during this transition to practice (TTP), they will likely experience significant psychological stress and anxiety. If an organization does not implement measures to address TTP, the new graduate is much more likely to leave the current position within the first two years of practice. An extensive literature review was conducted investigating the effects, and necessary components of an orientation program which supports the new graduate through TTP. Using Van Maanen &amp; Schein’s (1979) Theory of Organizational Socialization, a comprehensive new graduate orientation program was designed and implemented in large multi-specialty practice. Initial results suggest that this program improves both the perceived organizational support felt by the new graduate, as well as the new graduates’ affective commitment to the organization. Improvements in both these dimensions have been shown to decrease turnover intention and increase retention of the employee.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Nurse practitioners|http://id.loc.gov/authorities/subjects/sh85093316 || Physicians&#039; assistants|http://id.loc.gov/authorities/subjects/sh85101641 || Employee orientation|http://id.loc.gov/authorities/subjects/sh85042862",,,,,,,English,"51 pages",,"In Copyright",Attribution-NonCommercial-ShareAlike,https://hdl.handle.net/2286/R.I.43565,43565,kpardon1,"05/03/2017 - 15:04",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5707,"|Survivorship Care Plan|A Pilot Implementation in Colon Cancer Survivors","<p>Cancer survivorship has been identified as separate stage in cancer treatment posing unique issues that arise from the diagnosis of cancer, as well as late effects associated with treatments. Evidence shows that cancer survivors demonstrate suboptimal follow-up care, and report high levels of unmet needs related to their cancer experience. To improve care for the increasing number of cancer survivors in the United States, survivorship care plans (SCPs) have been proposed as way to strengthen care coordination and improve patient outcomes. Research suggests that SCPs have favorable impact on patient satisfaction and quality of life, however little research to date investigates the utility of SCPs in improving patient outcomes, adherence to follow-up recommendations, or patients’ confidence in self-care management. To further understand the role of SCPs in survivorship care, a pilot implementation of SCPs in colon cancer patients was implemented to gather data on the identified gaps.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Cancer|http://id.loc.gov/authorities/subjects/sh85019492 || Colon (Anatomy)|http://id.loc.gov/authorities/subjects/sh85028542 || Health planning|http://id.loc.gov/authorities/subjects/sh85059584 || Outcome assessment (Medical care)|http://id.loc.gov/authorities/subjects/sh94002382",,,,,,,English,"42 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48674,48674,kpardon1,"05/15/2018 - 18:15",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5708,"|Survivorship Care Planning|An Evidence Based Quality Improvement Project in Breast Cancer","<p>Cancer survivors meet survivorship with uncertainty due to a lack of uniform information provided post cancer treatment. The implementation of survivorship care plans (SCP) has been recognized by key stakeholders as the solution to transitional uncertainties.<br />In fact, to achieve accreditation by the Commission on Cancer (CoC) cancer centers are required to deliver SCPs to cancer survivors within a year of their treatment completion. Research demonstrates SCP delivery results in significant improvement in patient satisfaction, coordination of care, and survivorship care knowledge. In order to meet CoC standard 3.3 and bring understanding to SCPs function in cancer survivorship care a quality improvement project was initiated within an Arizona cancer center. SCPs were delivered at a survivorship visit to adult breast cancer patients. SCPs affect on survivors’ confidence in cancer self-care knowledge and care satisfaction was evaluated as well as the organization’s adherence to CoC standard 3.3 requirements. Identified survivors were scheduled for a survivorship visit where a SCP was delivered by a oncology provider. Survivors perceived confidence in knowledge and satisfaction was measured using the modified 16-item Confidence in Survivorship Information Questionnaire (CSI). Questionnaires were completed pre and post survivorship visit. A paired t-test analysis was used to evaluate SCP effectiveness. There was an increase in the delivery of SCPs from zero to 57 with an 84 percent SCP delivery from August 2017 to January 2018. Survivors and providers verbalize value in SCPs. No statistical significance was found in the comparison of SCPs affect on survivors’ confidence in cancer self-care knowledge and care satisfaction to that of standard follow-up care; however, when comparing the pre/post questionnaire averages an improvement was noted across the board.The prospect of this project is to unveil the impact SCP delivery at a survivorship visit has on the selected metrics. This project aids as a director for organization wide implementation for CoC standard 3.3 requirement compliance.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Cancer|http://id.loc.gov/authorities/subjects/sh85019492 || Breast|http://id.loc.gov/authorities/subjects/sh85016677 || Health planning|http://id.loc.gov/authorities/subjects/sh85059584 || Outcome assessment (Medical care)|http://id.loc.gov/authorities/subjects/sh94002382",,,,,,,English,"44 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48642,48642,kpardon1,"05/08/2018 - 15:27",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5709,"|Tai Chi for Falls Prevention|A Student-led DNP Project","<p>Aim: To reduce the fear of falling in an elderly population by teaching ‘Tai Chi for Falls Prevention’ classes twice a week for 12 weeks. </p>
<p>Background &amp; Significance: Falls continue to be the leading cause of injury-related deaths of Arizonans who are 65 years or older - well above the national average. It is predicted that by 2030, national medical spending for this population will total over $31 billion, yearly. Tai Chi is revered for being a beneficial form of simple, low-impact exercise, which the CDC endorses for its falls risk reduction benefits.  </p>
<p>Methods: The intervention consisted of 60-minute classes occurring twice a week for 12 weeks. Participants were English-speaking, between 65-85 years old, and able to ambulate independently. Appropriate pre-screening tools were used before applicants consented. Their Fear of Falling (FoF) was measured using a fall risk perception tool at the beginning, middle, and the end of the project. This ordinal data was analyzed with Friedman ANOVA using SPSS 25</p>
<p>Outcomes/Results: After enrolling five total participants, only three completed the project. This severely limited data analysis of their FoF, resulting in a statistical significance (p = 0.68), deeming the intervention ineffective - Despite observable downwards trending FoF scores.</p>
<p>Conclusion: The acceptance of the null hypothesis is attributed to the low enrollment and high attrition rate. Also, the only data measured was quantifiable, subjective data. Future projects could add objective data to reinforce the benefits of Tai Chi. This might reinforce the validity of Tai Chi as a practical recommendation due to its cost-effective simple interventional design and effectiveness for prevention of accidental falls. Increased focus on improved recruitment &amp; retainment strategies should be prioritized for similar projects in the future.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Tai chi for older people|http://id.loc.gov/authorities/subjects/sh2003005103 || Falls (Accidents) in old age|http://id.loc.gov/authorities/subjects/sh88005632",,,,,,,English,"53 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53382,53382,kpardon1,"05/07/2019 - 19:26",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5710,"|Tailored Messaging Feedback to Improve Parent Knowledge and Behavior Practices on Pediatric Drowning Prevention|","<p>Introduction and Background: Drowning is the leading cause of preventable injury death in Arizona for children under five years old. Tailored education has demonstrated efficacy in behavior change and knowledge retention. The purpose of this evidence-based project was to evaluate if tailored education improved knowledge and self-reported behaviors related to pediatric drowning. The Elaboration Likelihood Model provided the framework for this project. </p>
<p>Methods/Experimental Approach: The prospective pilot project was conducted using the Iowa Model of Evidence Based Practice. Parents with children under five years, presenting with low acuity complaints in a pediatric emergency department were approached. A baseline assessment identified high-risk behaviors and a custom education plan was delivered to parents.  Outcome variables were measured at baseline and three weeks after initial assessment.  </p>
<p>Results: The average parent age was 29 (M = 28.5; SD = 6.35) years.  Participant (n=29) responses were analyzed using descriptive statistics. Participants (n = 27, 93%) reported likelihood to change behaviors and 29 (100%) perceived the tailored intervention as relevant.  Secondary outcome variables were not measured at three weeks due to a lack of survey response. </p>
<p>Conclusions: Parents reported a high likelihood of behavior change when water safety education was tailored and relevant to their child.  The tailored intervention evoked positive interaction and receptivity from parents and suggested a high motivation to make a behavior change. The effect of the intervention could not be tested due to the lack of follow-up and post data collection.  The design of this evidence-based project is quantifiable and replicable in a low-acuity setting, which allows for future evaluations of self-reported behavior change and knowledge improvement. Funding: No sponsorship or financial conflict of interest.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Drowning|http://id.loc.gov/authorities/subjects/sh85039668 || Children&#039;s accidents|http://id.loc.gov/authorities/subjects/sh85023577 || Medical personnel-caregiver relationships|http://id.loc.gov/authorities/subjects/sh98004970 || Safety education|http://id.loc.gov/authorities/subjects/sh85116442",,,,,,,English,"59 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53983,53983,kpardon1,"05/16/2019 - 16:50",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5711,"|Team-Based Care in the Management of Type 2 Diabetes with Consideration for Social Determinants of Health|","<p>The reactionary nature of the current healthcare delivery system in the United States has led to increased healthcare spending from acute exacerbations of chronic disease and unnecessary hospitalizations. Those who suffer from chronic diseases are particularly at risk. The dynamics of health care must include grappling with the complexities of where and how people live and attempt to manage their health and disease. Team-based care may offer a solution due to its interdisciplinary focus on proactive, preventative care delivered in outpatient primary care. Studies examining the effects of team-based care have shown improvement in; HbA1c, blood pressure, lipids, healthcare team morale, patient satisfaction rates, quality of care, and patient empowerment. In an effort to improve type 2 diabetes health outcomes and patient satisfaction a team based care project was implemented. The setting was an outpatient primary care clinic where the patients are known to have limited social resources. The healthcare team was comprised of a DNP Student, Master of Social Work Student, Clinical Pharmacist, and Primary Care Physician, who discussed patient specifics during informal meetings and referral processes. Adult patients whose HbA1c level was greater than 6.5% were eligible to participate, 183 were identified and invited. Fourteen (14) agreed to participate and seven (7) completed the initial screening with a mean HbA1c of 9.7%. Significant social needs were identified using the Health Leads Questionnaire. The diabetes and social needs were addressed by members of the team<br />who met individually with patients monthly over the course of three months. Of those who<br />completed the initial evaluation only two (2) returned for a follow-up and had a repeat HbA1c.</p>
<p>Both participants had important improvements in their A1C with a decrease of 2.3%, and 3.4%.<br />The others were lost to follow up for unknown reasons. Despite the small numbers of<br />participants this project suggests that patients can benefit when an interdisciplinary team<br />addresses their needs and this could improve health outcomes.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Non-insulin-dependent diabetes|http://id.loc.gov/authorities/subjects/sh85092226 || Health care teams|http://id.loc.gov/authorities/subjects/sh85059533 || Social medicine|http://id.loc.gov/authorities/subjects/sh85123973",,,,,,,English,"19 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.44618,44618,kpardon1,"06/21/2017 - 14:05",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Complex Object",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5712,"The|Effect of Post Partum Breastfeeding Peer Support on Breastfeeding Success Outcomes|","<p>The health benefits of breastfeeding are well documented and exclusive breastfeeding for at least the first six months of life is the target of national and global health care organizations. Although initial breastfeeding is on the rise, the percentage of infants still breastfeeding at six months drops significantly. In the population of newly delivered mothers of an obstetric practice, there is no readily accessible breastfeeding support offered following hospital discharge. A review of relevant literature revealed that lack of support is often cited as a key factor in the discontinuation of breastfeeding, whereas the evidence shows that participation in peer support has a positive effect on breastfeeding self-efficacy, which can have a positive effect on breastfeeding duration. To address this problem, the initiation of a breastfeeding closed social network Facebook group for this practice setting population was developed and implemented to provide readily accessible peer support and have a positive effect on the outcome of breastfeeding self-efficacy. Three months after initiation of the Facebook group, an anonymous voluntary survey was offered to group members, and 25 members participated in the survey. Responses demonstrated that peer support is helpful with breastfeeding confidence and that, following participation in the group, the respondents wanted to continue breastfeeding.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Breastfeeding|http://id.loc.gov/authorities/subjects/sh85016691 || Social networks|http://id.loc.gov/authorities/subjects/sh2001008645 || Breastfeeding promotion|http://id.loc.gov/authorities/subjects/sh89004886",,,,,,,English,"53 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48673,48673,kpardon1,"05/15/2018 - 15:37",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5713,"The|Effect of Web-based Education on First and Second Dose HPV Administration Rates and Provider Intent to Vaccinate|","<p>Objectives: To assess whether a web-based video education addressing barriers to the human papillomavirus (HPV) vaccine will increase first and second dose administration rates and health care provider intent to vaccinate.</p>
<p>Study Design: Ten health care providers from Vaccines for Children (VFC) clinics in New Mexico were included in this pretest/posttest study. Providers were given a questionnaire adapted from the Determinants of Intent to Vaccinate (DIVA) questionnaire. Only two subscales were utilized for this project (total of 10 items): Adaptation to the Patient’s Profile and General Practitioner’s Commitment to the Vaccine Approach. Martinez et al. (2016) suggest that PCP’s commitment to the vaccination approach” can be used as a stand-alone tool with a Cronbach’s alpha &gt; .70. Following the pretest, which served as consent, providers viewed a short, four video series addressing common barriers to the HPV vaccine, followed by the same questionnaire. First and second dose rates of the HPV vaccine were measured prior to the intervention and three months post intervention using the New Mexico Immunization Information System (NMSIIS).</p>
<p>Results: A Wilcoxon Ranks test was used for statistical analysis of the survey responses. Alpha was set at ≤ .10. Four of the 10 questions were statistically significant for increasing provider intent to vaccinate. HPV first dose rates increased in all three clinics and second dose rates increased in two out of the three clinics.</p>
<p>Conclusions: Web-based education is a successful intervention for increasing <br />provider intent to vaccinate and first and second dose HPV administration rates. Not only can the intervention be used for the HPV vaccine, but to help increase administration rates of all other vaccines.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Papillomavirus vaccines|http://id.loc.gov/authorities/subjects/sh99003243 || Physician practice patterns|http://id.loc.gov/authorities/subjects/sh99001213 || Web-based instruction|http://id.loc.gov/authorities/subjects/sh2003006114",,,,,,,English,"22 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48645,48645,kpardon1,"05/08/2018 - 17:07",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5714,"The|Effects of mindfulness on Depression and Anxiety|","<p>Depression and anxiety are common and debilitating illnesses that negatively impact personal well-being and functioning. The effects of depression and anxiety not only affect the individual, but also peers, family, the community, economy, and even the health care system. Pharmacological therapy is a first line treatment for depression and anxiety, but the risk for relapse remains. Cognitive behavioral therapy (CBT) and mindfulness-based cognitive therapy (MBCT) are treatments that have demonstrated effectiveness in treating depression. The evidence suggests that both therapies are successful in terms of reducing depressive symptoms, but most effective when combined. Further, evidence shows that the combination of MBCT and traditional pharmacological therapy provides relief from depressive symptoms and lengthens the amount of time between recurrent episodes and improves the quality of life. A project was implemented at an integrated health clinic to evaluate the effectiveness of a mindfulness-based intervention to reduce the symptoms of depression and anxiety. The results revealed that practicing mindfulness was statistically and clinically significant in reducing depression and anxiety. In addition, mindfulness scores increased over 30 day application of the intervention. The results demonstrated the value of utilizing mindfulness as a cost-effective therapy in addition to pharmacological treatment to decrease symptoms of depression and anxiety, as well as improve mindfulness. The ease of use demonstrated the value of mindfulness and self-directed skills aimed at improving wellness, reducing depression and anxiety which will result in the improvement of individual, economic, healthcare system, and community health.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Depression, Mental|http://id.loc.gov/authorities/subjects/sh85037053 || Anxiety|http://id.loc.gov/authorities/subjects/sh85005835 || Mindfulness-based cognitive therapy|http://id.loc.gov/authorities/subjects/sh2008002964",,,,,,,English,"64 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48420,48420,guthery,"04/28/2018 - 15:48",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5715,"The|Impact of a Human Papillomavirus Vaccine Best Practice Alert|","<p>The human papillomavirus (HPV) is the most commonly spread sexually transmitted infection in the United States. Although the HPV vaccine protects against transmission of the most common strains of HPV that cause genital warts and numerous urogenital cancers, uptake in the United States remains suboptimal. Failure to vaccinate leaves individuals vulnerable to the virus and subsequent complications of transmission. The evidence demonstrates that provider recommendation alone increases rates of vaccine uptake. The literature does not suggest a specific method for provider recommendation delivery; however, best practice alerts (BPAs) were correlated with increased vaccination rates. These findings have directed a proposed project that includes an electronic health record (EHR) change prompting internal medicine, family practice and women’s health providers to educate and recommend the HPV vaccine at a Federally Qualified Health Center (FQHC) in the Southwest United States. The project demonstrates that after the implementation of a practice change of a HPV BPA in the EHR, HPV vaccination rates increased. Practice settings pre and post were similar, making the increase clinically significant. The strengths of this project include an increase in HPV vaccination rates, a sustainable intervention, and an intervention that can easily be replicated into other health maintenance tasks. There were some limitations including the BPA alert only catching the HPV 9 vaccine series and the BPA did not always capturing historical data. Despite these technical barriers the HPV BPA delivered an increase in the HPV vaccine to protect more individuals from the HPV virus, increased provider adherence to national guidelines, and provides a platform for BPAs to be utilized for other vaccines.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Papillomavirus vaccines|http://id.loc.gov/authorities/subjects/sh99003243 || Papillomavirus vaccines|http://id.loc.gov/authorities/subjects/sh99003243 || Communication in medicine|http://id.loc.gov/authorities/subjects/sh85029080",,,,,,,English,"24 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48651,48651,kpardon1,"05/09/2018 - 12:50",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5716,"The|Impact of a Nursing Professional Governance Approach on Nurse Participation and Satisfaction with Health Information Technology|","<p>Professional nurse involvement in shaping the electronic health record continues to be minimal in spite of the presence of shared governance models. The redundancies and nurse dissatisfaction with the electronic health record requires a new approach. The advancement of a shared governance model to a professional governance model has resulted in an increase in professional role involvement in four areas: (1) accountability, (2) professional obligation, (3) collateral relationships, and (4) decision-making. Increased professional nurse involvement results in, nurses more actively engaged in problem solving to improve nurse satisfaction with the electronic health record. Evidence reflects a positive impact on nurse satisfaction when a professional shared governance structure is in place and guides the professional practice of nurses specific to autonomy and accountability. Additionally, evidence also revealed that nurses have a desire to be included in the quality of design, implementation and sustainability of electronic documentation.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Medical informatics|http://id.loc.gov/authorities/subjects/sh89005069 || Nursing informatics|http://id.loc.gov/authorities/subjects/sh91005164 || Health services administration|http://id.loc.gov/authorities/subjects/sh85059600",,,,,,,English,"60 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48675,48675,kpardon1,"05/15/2018 - 18:48",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5717,"The|Impact of Education on a Mental Health Provider’s Willingness to Adopt Innovation in the Diagnostic Process|","<p>In today’s healthcare environment, there is ample evidence to support early identification of disease and implementation of effective treatment to improve patient outcomes. The objectives of this clinical intervention were twofold; the implementation of an innovative change within an organization, allowing for systematic screening through incorporation of the Mood Disorder Questionnaire (MDQ), and evaluation of mental health provider’s willingness to incorporate practice change. A pre and post quasi-experimental design evaluated the attitude of providers regarding practice change using the Evidence-Based Practice Attitude Scale and the utilization of the MDQ following educational intervention. Parametric testing was used to explore the relationship between education specific to practice change and the provider's attitude through the use of the paired t test. The Chi-square test evaluated the use of the MDQ by clinic healthcare providers in relation to an innovative practice change. Results of this study illustrate enhanced provider willingness to adopt innovation and increased MDQ use following the intervention. Ensuring provider access to screening tools and education during the process of practice change provides a strategy for early intervention enhanced willingness to support practice evolution.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Mental health services|http://id.loc.gov/authorities/subjects/sh00006456 || Diagnostic services|http://id.loc.gov/authorities/subjects/sh85037510 || Medical innovations|http://id.loc.gov/authorities/subjects/sh85082946 || Medical education|http://id.loc.gov/authorities/subjects/sh85082916",,,,,,,English,"38 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.43814,43814,kpardon1,"05/23/2017 - 17:37",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
